Type,Origin,n,avg_msrp,avg_hp,avg_mpg_city,avg_mpg_hwy
Hybrid,Asia,3,"19,920",92.0,55,56
Sedan,Asia,94,"22,764",182.0,22.840425532,29.968085106
Sedan,Europe,78,"42,992",236.5,19.512820513,27.115384615
Sedan,USA,90,"25,639",192.0,20.611111111,28.544444444
Sports,Asia,17,"32,511",225.4,20.235294118,26.647058824
Sports,Europe,23,"71,999",316.7,17.652173913,25.130434783
Sports,USA,9,"45,257",312.0,16.888888889,24.222222222
Suv,Asia,25,"29,569",214.2,17.32,21.68
Suv,Europe,10,"48,346",263.1,14.5,18.7
Suv,USA,25,"34,589",246.6,15.52,20.04
Truck,Asia,8,"20,384",190.3,17.875,22
Truck,USA,16,"27,220",242.1,15.8125,20.5
Wagon,Asia,11,"23,144",185.6,22.363636364,28.181818182
Wagon,Europe,12,"37,851",218.2,19.25,26.583333333
Wagon,USA,7,"22,346",165.7,22.285714286,29.714285714
